sweep_name,component,swept_value,coupled_negative_component,coupled_negative_value,run_id,status,raw_file,log_file,plot_file,manual_behavior_label,manual_notes,error
RL1_single,R1,5500.0,,,10,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0010.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0010.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0010.png,,,
RL1_single,R1,5550.0,,,11,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0011.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0011.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0011.png,,,
RL1_single,R1,5600.0,,,12,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0012.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0012.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0012.png,,,
RL1_single,R1,5650.0,,,13,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0013.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0013.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0013.png,,,
RL1_single,R1,5700.0,,,14,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0014.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0014.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0014.png,,,
RL1_single,R1,5750.0,,,15,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0015.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0015.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0015.png,,,
RL1_single,R1,5800.0,,,16,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0016.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0016.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0016.png,,,
RL1_single,R1,5850.0,,,17,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0017.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0017.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0017.png,,,
RL1_single,R1,5900.0,,,18,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0018.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0018.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0018.png,,,
RL1_single,R1,5950.0,,,19,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0019.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0019.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0019.png,,,
RL1_single,R1,6000.0,,,20,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0020.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0020.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0020.png,,,
RL1_single,R1,6050.0,,,21,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0021.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0021.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0021.png,,,
RL1_single,R1,6100.0,,,22,ok,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0022.raw,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\raw_runs\RL1_single_0022.log,C:\Users\vchat\Downloads\Vaishnavi_s_Thesis\automation\results_behavior_windows\refractory\single_rl1\01_RL1_single\plots\RL1_single_0022.png,,,
